label,pattern
DISEASE,"[{'LOWER': 'panic'}, {'LOWER': 'disorder'}]"
DISEASE,"[{'LOWER': 'type'}, {'LOWER': '2'}, {'LOWER': 'diabetes'}]"
DISEASE,"[{'LOWER': 'cervical'}, {'LOWER': 'radiculopathy'}]"
DISEASE,[{'LOWER': 'depression'}]
DISEASE,[{'LOWER': 'hypercholesterolemia'}]
DISEASE,[{'LOWER': 'anorexia'}]
DISEASE,"[{'LOWER': 'graves'}, {'LOWER': 'disease'}]"
DISEASE,[{'LOWER': 'psoriasis'}]
DISEASE,"[{'LOWER': 'bipolar'}, {'LOWER': 'disorder'}]"
DISEASE,"[{'LOWER': 'uterine'}, {'LOWER': 'cancer'}]"
DISEASE,[{'LOWER': 'asthma'}]
DISEASE,"[{'LOWER': 'bacterial'}, {'LOWER': 'vaginosis'}]"
DISEASE,"[{'LOWER': 'oral'}, {'LOWER': 'thrush'}]"
DISEASE,[{'LOWER': 'hernia'}]
DISEASE,"[{'LOWER': 'gestational'}, {'LOWER': 'diabetes'}]"
DISEASE,[{'LOWER': 'akathisia'}]
DISEASE,"[{'LOWER': 'diabetic'}, {'LOWER': '(t2)'}]"
DISEASE,[{'LOWER': 'parkinsons'}]
DISEASE,[{'LOWER': 'anxiety'}]
DISEASE,[{'LOWER': 'sciatica'}]
DISEASE,"[{'LOWER': 'breast'}, {'LOWER': 'cancer'}]"
DISEASE,[{'LOWER': 'goiter'}]
DISEASE,[{'LOWER': 'endometriosis'}]
DISEASE,[{'LOWER': 'hemorrhoids'}]
DISEASE,"[{'LOWER': 'yeast'}, {'LOWER': 'infection'}]"
DISEASE,[{'LOWER': 'uti'}]
DISEASE,"[{'LOWER': 'hemiplegic'}, {'LOWER': 'migraines'}]"
DISEASE,"[{'LOWER': 'viral'}, {'LOWER': 'bronchiolitis'}]"
DISEASE,[{'LOWER': 'ileitis'}]
DISEASE,[{'LOWER': 'adhd'}]
DISEASE,[{'LOWER': 'hep'}]
DISEASE,[{'LOWER': 'flu'}]
DISEASE,[{'LOWER': 'lupus'}]
DISEASE,"[{'LOWER': 'cervical'}, {'LOWER': 'stenosis'}]"
DISEASE,"[{'LOWER': 'lumber'}, {'LOWER': 'stenosis'}]"
DISEASE,[{'LOWER': 'covid'}]
DISEASE,[{'LOWER': 'diarrhea'}]
DISEASE,[{'LOWER': 'insomnia'}]
DISEASE,[{'LOWER': 'acne'}]
DISEASE,"[{'LOWER': 'anxiety'}, {'LOWER': 'disorder'}]"
DISEASE,[{'LOWER': 'ringworm'}]
DISEASE,"[{'LOWER': 'familial'}, {'LOWER': 'hypercholesterolemia'}]"
DISEASE,"[{'LOWER': 'chronic'}, {'LOWER': 'migraine'}]"
DISEASE,"[{'LOWER': ""crohn's""}]"
DISEASE,"[{'LOWER': 'autism'}, {'LOWER': 'spectrum'}, {'LOWER': 'disorder'}]"
DISEASE,[{'LOWER': 'lymphoma'}]
DISEASE,"[{'LOWER': 'sleep'}, {'LOWER': 'apnea'}]"
DISEASE,"[{'LOWER': 'colitis'}, {'LOWER': 'ulcerosa'}]"
DISEASE,"[{'LOWER': 'diagnosed'}, {'LOWER': 'with'}, {'LOWER': 'asthma'}]"
DISEASE,[{'LOWER': 'gangrene'}]
DISEASE,[{'LOWER': 'crohns'}]
DISEASE,[{'LOWER': 'svt'}]
DISEASE,"[{'LOWER': 'achilles'}, {'LOWER': 'tendonitis'}]"
DISEASE,[{'LOWER': 'leukemia'}]
DISEASE,"[{'LOWER': 'ankylosing'}, {'LOWER': 'spondylitis'}]"
DISEASE,[{'LOWER': 'vertigo'}]
DISEASE,"[{'LOWER': 'lynch'}, {'LOWER': 'syndrome'}]"
DISEASE,[{'LOWER': 'pcos'}]
DISEASE,[{'LOWER': 'pancreatitis'}]
DISEASE,[{'LOWER': 'gastritis'}]
DISEASE,"[{'LOWER': 'acute'}, {'LOWER': 'pancreatitis'}]"
DISEASE,[{'LOWER': 'strep'}]
DISEASE,[{'LOWER': 'pneumonia'}]
DISEASE,"[{'LOWER': 'umbilical'}, {'LOWER': 'hernia'}]"
DISEASE,[{'LOWER': 'bradycardia'}]
DISEASE,"[{'LOWER': 'hep'}, {'LOWER': 'c'}]"
DISEASE,"[{'LOWER': 'thyroid'}, {'LOWER': 'cancer'}]"
DISEASE,"[{'LOWER': 'ovarian'}, {'LOWER': 'cyst'}]"
DISEASE,"[{'LOWER': 'eating'}, {'LOWER': 'disorder'}]"
DISEASE,"[{'LOWER': 'viral'}, {'LOWER': 'fever'}]"
DISEASE,[{'LOWER': 'scoliosis'}]
DISEASE,"[{'LOWER': 'pruritus'}, {'LOWER': 'ani'}]"
DISEASE,[{'LOWER': 'ibd'}]
DISEASE,[{'LOWER': 'esophagitis'}]
DISEASE,"[{'LOWER': 'crohns'}, {'LOWER': 'disease'}]"
DISEASE,"[{'LOWER': 'bipolar'}, {'LOWER': 'nos'}]"
DISEASE,"[{'LOWER': 'essential'}, {'LOWER': 'thrombocythemia'}]"
DISEASE,[{'LOWER': 'arthritis'}]
DISEASE,"[{'LOWER': 'orthostatic'}, {'LOWER': 'tachycardia'}]"
DISEASE,"[{'LOWER': 'benign'}, {'LOWER': 'vertigo'}]"
DISEASE,[{'LOWER': 'dysphagia'}]
DISEASE,[{'LOWER': 'eczema'}]
DISEASE,[{'LOWER': 'pots'}]
DISEASE,[{'LOWER': 'hives'}]
DISEASE,"[{'LOWER': 'rheumatoid'}, {'LOWER': 'arthritis'}]"
DISEASE,[{'LOWER': 'hypothiroidism'}]
DISEASE,"[{'LOWER': 'cervical'}, {'LOWER': 'instability'}]"
DISEASE,"[{'LOWER': 'vitamin'}, {'LOWER': 'd'}, {'LOWER': 'deficiency'}]"
DISEASE,[{'LOWER': 'tachycardia'}]
DISEASE,[{'LOWER': 'fibromyalgia'}]
DISEASE,"[{'LOWER': 'carpal'}, {'LOWER': 'tunnel'}]"
DISEASE,"[{'LOWER': 'depression'}, {'LOWER': 'and'}, {'LOWER': 'anxiety'}]"
DISEASE,[{'LOWER': 'bipolar'}]
DISEASE,"[{'LOWER': 'bacterial'}, {'LOWER': 'pneumonia'}]"
DISEASE,[{'LOWER': 'gd'}]
