label,pattern
DISEASE,[{'LOWER': 'uti'}]
DISEASE,"[{'LOWER': 'piriformis'}, {'LOWER': 'syndrome'}]"
DISEASE,"[{'LOWER': 'ovarian'}, {'LOWER': 'cyst'}]"
DISEASE,[{'LOWER': 'anxiety'}]
DISEASE,"[{'LOWER': 'depression'}, {'LOWER': 'and'}, {'LOWER': 'anxiety'}]"
DISEASE,[{'LOWER': 'hernia'}]
DISEASE,[{'LOWER': 'leukemia'}]
DISEASE,"[{'LOWER': 'carpal'}, {'LOWER': 'tunnel'}]"
DISEASE,[{'LOWER': 'ibd'}]
DISEASE,[{'LOWER': 'aspergers'}]
DISEASE,"[{'LOWER': 'heat'}, {'LOWER': 'exhaustion'}]"
DISEASE,"[{'LOWER': 'myelodysplastic'}, {'LOWER': 'syndrome'}]"
DISEASE,[{'LOWER': 'pots'}]
DISEASE,"[{'LOWER': 'scapula'}, {'LOWER': 'dyskinesis'}]"
DISEASE,[{'LOWER': 'autism'}]
DISEASE,"[{'LOWER': 'viral'}, {'LOWER': 'fever'}]"
DISEASE,[{'LOWER': 'adhd'}]
DISEASE,"[{'LOWER': 'viral'}, {'LOWER': 'bronchiolitis'}]"
DISEASE,[{'LOWER': 'diarrhea'}]
DISEASE,"[{'LOWER': 'rheumatoid'}, {'LOWER': 'arthritis'}]"
DISEASE,"[{'LOWER': 'graves'}, {'LOWER': 'disease'}]"
DISEASE,[{'LOWER': 'crohns'}]
DISEASE,[{'LOWER': 'tachycardia'}]
DISEASE,[{'LOWER': 'ptsd'}]
DISEASE,[{'LOWER': 'goiter'}]
DISEASE,[{'LOWER': 'covid'}]
DISEASE,[{'LOWER': 'migraine'}]
DISEASE,"[{'LOWER': 'oral'}, {'LOWER': 'thrush'}]"
DISEASE,"[{'LOWER': 'ear'}, {'LOWER': 'infection'}]"
DISEASE,[{'LOWER': 'allergies'}]
DISEASE,[{'LOWER': 'diabetes'}]
DISEASE,[{'LOWER': 'asthma'}]
DISEASE,"[{'LOWER': 'ankylosing'}, {'LOWER': 'spondylitis'}]"
DISEASE,"[{'LOWER': 'bacterial'}, {'LOWER': 'vaginosis'}]"
DISEASE,[{'LOWER': 'psoriasis'}]
DISEASE,[{'LOWER': 'sciatica'}]
DISEASE,[{'LOWER': 'hypothyroidism'}]
DISEASE,[{'LOWER': 'ibs'}]
SYMPTOM,"[{'LOWER': 'swollen'}, {'LOWER': 'feeling'}]"
SYMPTOM,[{'LOWER': 'sweating'}]
SYMPTOM,"[{'LOWER': 'blood'}, {'LOWER': 'clot'}]"
SYMPTOM,"[{'LOWER': 'nerve'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'labral'}, {'LOWER': 'tear'}]"
SYMPTOM,"[{'LOWER': 'severe'}, {'LOWER': 'pain'}]"
SYMPTOM,[{'LOWER': 'fever'}]
SYMPTOM,"[{'LOWER': 'piercing'}, {'LOWER': 'sensation'}]"
SYMPTOM,"[{'LOWER': 'abdominal'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'both'}, {'LOWER': 'of'}, {'LOWER': 'my'}, {'LOWER': 'wrists'}]"
SYMPTOM,"[{'LOWER': 'low'}, {'LOWER': 'blood'}, {'LOWER': 'pressure'}]"
SYMPTOM,"[{'LOWER': 'broken'}, {'LOWER': 'bones'}]"
SYMPTOM,"[{'LOWER': 'blood'}, {'LOWER': 'pressure'}, {'LOWER': 'severly'}, {'LOWER': 'drops'}]"
SYMPTOM,"[{'LOWER': 'breathing'}, {'LOWER': 'getting'}, {'LOWER': 'shallower'}]"
SYMPTOM,"[{'LOWER': 'stomach'}, {'LOWER': 'cramping'}]"
SYMPTOM,[{'LOWER': 'rashes'}]
SYMPTOM,"[{'LOWER': 'superior'}, {'LOWER': 'labrum'}, {'LOWER': 'tear'}]"
SYMPTOM,"[{'LOWER': 'elevated'}, {'LOWER': 'blood'}, {'LOWER': 'platelet'}, {'LOWER': 'count'}]"
SYMPTOM,[{'LOWER': 'dizziness'}]
SYMPTOM,[{'LOWER': 'mucus'}]
SYMPTOM,"[{'LOWER': 'mild'}, {'LOWER': 'regurgitation'}]"
SYMPTOM,"[{'LOWER': 'problem'}, {'LOWER': 'breathing'}]"
SYMPTOM,"[{'LOWER': 'lot'}, {'LOWER': 'of'}, {'LOWER': 'pain'}, {'LOWER': 'near'}, {'LOWER': 'my'}, {'LOWER': 'scapula'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'my'}, {'LOWER': 'lower'}, {'LOWER': 'abdomen'}]"
SYMPTOM,[{'LOWER': 'cough'}]
SYMPTOM,"[{'LOWER': 'stiff'}, {'LOWER': 'and'}, {'LOWER': 'painful'}]"
SYMPTOM,[{'LOWER': 'suicidal'}]
SYMPTOM,[{'LOWER': 'allergies'}]
SYMPTOM,[{'LOWER': 'bleeding'}]
SYMPTOM,"[{'LOWER': 'colon'}, {'LOWER': 'spasm'}]"
SYMPTOM,"[{'LOWER': 'pain'}, {'LOWER': 'in'}, {'LOWER': 'my'}, {'LOWER': 'upper'}, {'LOWER': 'left'}, {'LOWER': 'arm'}]"
SYMPTOM,"[{'LOWER': 'dislocated'}, {'LOWER': 'my'}, {'LOWER': 'ac'}, {'LOWER': 'joint'}]"
SYMPTOM,[{'LOWER': 'swollen'}]
SYMPTOM,"[{'LOWER': 'allergy'}, {'LOWER': 'attack'}]"
SYMPTOM,"[{'LOWER': 'period'}, {'LOWER': 'cramps'}]"
SYMPTOM,"[{'LOWER': 'low'}, {'LOWER': 'grade'}, {'LOWER': 'partial'}, {'LOWER': 'tear'}]"
SYMPTOM,[{'LOWER': 'hyperventilating'}]
SYMPTOM,"[{'LOWER': 'lightly'}, {'LOWER': 'swollen'}]"
SYMPTOM,"[{'LOWER': 'muscle'}, {'LOWER': 'spasms'}]"
SYMPTOM,"[{'LOWER': 'high'}, {'LOWER': 'blood'}, {'LOWER': 'pressure'}]"
SYMPTOM,"[{'LOWER': 'labrum'}, {'LOWER': 'tear'}]"
SYMPTOM,[{'LOWER': 'depressed'}]
SYMPTOM,[{'LOWER': 'coughs'}]
SYMPTOM,[{'LOWER': 'pus'}]
SYMPTOM,[{'LOWER': 'weakness'}]
SYMPTOM,"[{'LOWER': 'brain'}, {'LOWER': 'fog'}]"
SYMPTOM,[{'LOWER': 'cramps'}]
SYMPTOM,"[{'LOWER': 'swallowing'}, {'LOWER': 'hurts'}]"
SYMPTOM,"[{'LOWER': 'tingling'}, {'LOWER': 'sensations'}]"
SYMPTOM,[{'LOWER': 'spasms'}]
SYMPTOM,[{'LOWER': 'nausea'}]
SYMPTOM,"[{'LOWER': 'torn'}, {'LOWER': 'two'}, {'LOWER': 'of'}, {'LOWER': 'my'}, {'LOWER': 'ligaments'}]"
SYMPTOM,"[{'LOWER': 'minor'}, {'LOWER': 'cramping'}]"
SYMPTOM,[{'LOWER': 'gassy'}]
SYMPTOM,"[{'LOWER': 'upset'}, {'LOWER': 'stomach'}]"
SYMPTOM,[{'LOWER': 'sprained'}]
SYMPTOM,"[{'LOWER': 'head'}, {'LOWER': 'tics'}]"
SYMPTOM,"[{'LOWER': 'constantly'}, {'LOWER': 'tired'}]"
SYMPTOM,"[{'LOWER': 'severe'}, {'LOWER': 'sprain'}]"
SYMPTOM,"[{'LOWER': 'awful'}, {'LOWER': 'pain'}]"
SYMPTOM,[{'LOWER': 'headaches'}]
SYMPTOM,[{'LOWER': 'dehydrated'}]
SYMPTOM,[{'LOWER': 'cramping'}]
SYMPTOM,"[{'LOWER': 'acid'}, {'LOWER': 'reflux'}]"
SYMPTOM,"[{'LOWER': 'intense'}, {'LOWER': 'abdo'}, {'LOWER': 'pain'}]"
SYMPTOM,"[{'LOWER': 'continuous'}, {'LOWER': 'runny'}, {'LOWER': 'nose'}]"
SYMPTOM,[{'LOWER': 'cramp'}]
SYMPTOM,"[{'LOWER': 'mouth'}, {'LOWER': 'sores'}]"
SYMPTOM,"[{'LOWER': 'range'}, {'LOWER': 'of'}, {'LOWER': 'motion'}, {'LOWER': 'decreasing'}]"
SYMPTOM,"[{'LOWER': 'severe'}, {'LOWER': 'joint'}, {'LOWER': 'pain'}]"
SYMPTOM,[{'LOWER': 'constipation'}]
SYMPTOM,"[{'LOWER': 'chest'}, {'LOWER': 'pains'}]"
SYMPTOM,"[{'LOWER': 'kidney'}, {'LOWER': 'stones'}]"
SYMPTOM,[{'LOWER': 'rash'}]
SYMPTOM,"[{'LOWER': 'dizzy'}, {'LOWER': 'spells'}]"
